job_title,skills_required,description
Data Engineer,Python SQL ETL Big Data Hadoop,Data Engineer role requiring skills in Python SQL ETL Big Data Hadoop
UI UX Designer,Figma Adobe XD Prototyping Design,UI UX Designer role requiring skills in Figma Adobe XD Prototyping Design
Frontend Developer,HTML CSS JavaScript React,Frontend Developer role requiring skills in HTML CSS JavaScript React
QA Engineer,Testing Automation Selenium Debugging,QA Engineer role requiring skills in Testing Automation Selenium Debugging
Business Analyst,Excel SQL Communication Analytics,Business Analyst role requiring skills in Excel SQL Communication Analytics
DevOps Engineer,Docker Kubernetes AWS CI CD,DevOps Engineer role requiring skills in Docker Kubernetes AWS CI CD
Cloud Engineer,AWS Azure Cloud Computing Networking,Cloud Engineer role requiring skills in AWS Azure Cloud Computing Networking
AI Engineer,Python Machine Learning Deep Learning NLP,AI Engineer role requiring skills in Python Machine Learning Deep Learning NLP
Data Engineer,Python SQL ETL Big Data Hadoop,Data Engineer role requiring skills in Python SQL ETL Big Data Hadoop
Database Administrator,SQL Database Management Performance Tuning,Database Administrator role requiring skills in SQL Database Management Performance Tuning
DevOps Engineer,Docker Kubernetes AWS CI CD,DevOps Engineer role requiring skills in Docker Kubernetes AWS CI CD
Cloud Engineer,AWS Azure Cloud Computing Networking,Cloud Engineer role requiring skills in AWS Azure Cloud Computing Networking
Database Administrator,SQL Database Management Performance Tuning,Database Administrator role requiring skills in SQL Database Management Performance Tuning
Software Engineer,Java Python OOP Data Structures Algorithms,Software Engineer role requiring skills in Java Python OOP Data Structures Algorithms
Data Scientist,Python Machine Learning Pandas Statistics,Data Scientist role requiring skills in Python Machine Learning Pandas Statistics
Data Analyst,Excel SQL Python Data Visualization,Data Analyst role requiring skills in Excel SQL Python Data Visualization
Data Engineer,Python SQL ETL Big Data Hadoop,Data Engineer role requiring skills in Python SQL ETL Big Data Hadoop
Full Stack Developer,HTML CSS JavaScript Python SQL,Full Stack Developer role requiring skills in HTML CSS JavaScript Python SQL
Game Developer,C++ Unity Unreal Engine,Game Developer role requiring skills in C++ Unity Unreal Engine
Full Stack Developer,HTML CSS JavaScript Python SQL,Full Stack Developer role requiring skills in HTML CSS JavaScript Python SQL
Software Engineer,Java Python OOP Data Structures Algorithms,Software Engineer role requiring skills in Java Python OOP Data Structures Algorithms
ML Engineer,Python Deep Learning TensorFlow PyTorch,ML Engineer role requiring skills in Python Deep Learning TensorFlow PyTorch
AI Engineer,Python Machine Learning Deep Learning NLP,AI Engineer role requiring skills in Python Machine Learning Deep Learning NLP
Database Administrator,SQL Database Management Performance Tuning,Database Administrator role requiring skills in SQL Database Management Performance Tuning
UI UX Designer,Figma Adobe XD Prototyping Design,UI UX Designer role requiring skills in Figma Adobe XD Prototyping Design
QA Engineer,Testing Automation Selenium Debugging,QA Engineer role requiring skills in Testing Automation Selenium Debugging
DevOps Engineer,Docker Kubernetes AWS CI CD,DevOps Engineer role requiring skills in Docker Kubernetes AWS CI CD
Game Developer,C++ Unity Unreal Engine,Game Developer role requiring skills in C++ Unity Unreal Engine
Database Administrator,SQL Database Management Performance Tuning,Database Administrator role requiring skills in SQL Database Management Performance Tuning
Full Stack Developer,HTML CSS JavaScript Python SQL,Full Stack Developer role requiring skills in HTML CSS JavaScript Python SQL
Backend Developer,Python Django Flask APIs SQL,Backend Developer role requiring skills in Python Django Flask APIs SQL
Cloud Engineer,AWS Azure Cloud Computing Networking,Cloud Engineer role requiring skills in AWS Azure Cloud Computing Networking
UI UX Designer,Figma Adobe XD Prototyping Design,UI UX Designer role requiring skills in Figma Adobe XD Prototyping Design
Database Administrator,SQL Database Management Performance Tuning,Database Administrator role requiring skills in SQL Database Management Performance Tuning
Mobile App Developer,Java Kotlin Android Flutter,Mobile App Developer role requiring skills in Java Kotlin Android Flutter
Database Administrator,SQL Database Management Performance Tuning,Database Administrator role requiring skills in SQL Database Management Performance Tuning
Cloud Engineer,AWS Azure Cloud Computing Networking,Cloud Engineer role requiring skills in AWS Azure Cloud Computing Networking
Software Engineer,Java Python OOP Data Structures Algorithms,Software Engineer role requiring skills in Java Python OOP Data Structures Algorithms
Data Scientist,Python Machine Learning Pandas Statistics,Data Scientist role requiring skills in Python Machine Learning Pandas Statistics
Game Developer,C++ Unity Unreal Engine,Game Developer role requiring skills in C++ Unity Unreal Engine
Business Analyst,Excel SQL Communication Analytics,Business Analyst role requiring skills in Excel SQL Communication Analytics
Full Stack Developer,HTML CSS JavaScript Python SQL,Full Stack Developer role requiring skills in HTML CSS JavaScript Python SQL
Data Engineer,Python SQL ETL Big Data Hadoop,Data Engineer role requiring skills in Python SQL ETL Big Data Hadoop
Backend Developer,Python Django Flask APIs SQL,Backend Developer role requiring skills in Python Django Flask APIs SQL
Data Engineer,Python SQL ETL Big Data Hadoop,Data Engineer role requiring skills in Python SQL ETL Big Data Hadoop
Data Engineer,Python SQL ETL Big Data Hadoop,Data Engineer role requiring skills in Python SQL ETL Big Data Hadoop
UI UX Designer,Figma Adobe XD Prototyping Design,UI UX Designer role requiring skills in Figma Adobe XD Prototyping Design
Mobile App Developer,Java Kotlin Android Flutter,Mobile App Developer role requiring skills in Java Kotlin Android Flutter
Backend Developer,Python Django Flask APIs SQL,Backend Developer role requiring skills in Python Django Flask APIs SQL
Cyber Security Analyst,Network Security Ethical Hacking Cryptography,Cyber Security Analyst role requiring skills in Network Security Ethical Hacking Cryptography
UI UX Designer,Figma Adobe XD Prototyping Design,UI UX Designer role requiring skills in Figma Adobe XD Prototyping Design
Mobile App Developer,Java Kotlin Android Flutter,Mobile App Developer role requiring skills in Java Kotlin Android Flutter
Data Scientist,Python Machine Learning Pandas Statistics,Data Scientist role requiring skills in Python Machine Learning Pandas Statistics
Business Analyst,Excel SQL Communication Analytics,Business Analyst role requiring skills in Excel SQL Communication Analytics
Data Engineer,Python SQL ETL Big Data Hadoop,Data Engineer role requiring skills in Python SQL ETL Big Data Hadoop
Backend Developer,Python Django Flask APIs SQL,Backend Developer role requiring skills in Python Django Flask APIs SQL
Full Stack Developer,HTML CSS JavaScript Python SQL,Full Stack Developer role requiring skills in HTML CSS JavaScript Python SQL
Cloud Engineer,AWS Azure Cloud Computing Networking,Cloud Engineer role requiring skills in AWS Azure Cloud Computing Networking
Cloud Engineer,AWS Azure Cloud Computing Networking,Cloud Engineer role requiring skills in AWS Azure Cloud Computing Networking
Game Developer,C++ Unity Unreal Engine,Game Developer role requiring skills in C++ Unity Unreal Engine
UI UX Designer,Figma Adobe XD Prototyping Design,UI UX Designer role requiring skills in Figma Adobe XD Prototyping Design
Data Analyst,Excel SQL Python Data Visualization,Data Analyst role requiring skills in Excel SQL Python Data Visualization
Data Analyst,Excel SQL Python Data Visualization,Data Analyst role requiring skills in Excel SQL Python Data Visualization
Cloud Engineer,AWS Azure Cloud Computing Networking,Cloud Engineer role requiring skills in AWS Azure Cloud Computing Networking
Cyber Security Analyst,Network Security Ethical Hacking Cryptography,Cyber Security Analyst role requiring skills in Network Security Ethical Hacking Cryptography
Cloud Engineer,AWS Azure Cloud Computing Networking,Cloud Engineer role requiring skills in AWS Azure Cloud Computing Networking
Business Analyst,Excel SQL Communication Analytics,Business Analyst role requiring skills in Excel SQL Communication Analytics
Frontend Developer,HTML CSS JavaScript React,Frontend Developer role requiring skills in HTML CSS JavaScript React
Data Analyst,Excel SQL Python Data Visualization,Data Analyst role requiring skills in Excel SQL Python Data Visualization
DevOps Engineer,Docker Kubernetes AWS CI CD,DevOps Engineer role requiring skills in Docker Kubernetes AWS CI CD
ML Engineer,Python Deep Learning TensorFlow PyTorch,ML Engineer role requiring skills in Python Deep Learning TensorFlow PyTorch
Mobile App Developer,Java Kotlin Android Flutter,Mobile App Developer role requiring skills in Java Kotlin Android Flutter
Full Stack Developer,HTML CSS JavaScript Python SQL,Full Stack Developer role requiring skills in HTML CSS JavaScript Python SQL
AI Engineer,Python Machine Learning Deep Learning NLP,AI Engineer role requiring skills in Python Machine Learning Deep Learning NLP
Full Stack Developer,HTML CSS JavaScript Python SQL,Full Stack Developer role requiring skills in HTML CSS JavaScript Python SQL
ML Engineer,Python Deep Learning TensorFlow PyTorch,ML Engineer role requiring skills in Python Deep Learning TensorFlow PyTorch
Data Scientist,Python Machine Learning Pandas Statistics,Data Scientist role requiring skills in Python Machine Learning Pandas Statistics
Software Engineer,Java Python OOP Data Structures Algorithms,Software Engineer role requiring skills in Java Python OOP Data Structures Algorithms
Mobile App Developer,Java Kotlin Android Flutter,Mobile App Developer role requiring skills in Java Kotlin Android Flutter
Data Scientist,Python Machine Learning Pandas Statistics,Data Scientist role requiring skills in Python Machine Learning Pandas Statistics
Frontend Developer,HTML CSS JavaScript React,Frontend Developer role requiring skills in HTML CSS JavaScript React
Database Administrator,SQL Database Management Performance Tuning,Database Administrator role requiring skills in SQL Database Management Performance Tuning
Cloud Engineer,AWS Azure Cloud Computing Networking,Cloud Engineer role requiring skills in AWS Azure Cloud Computing Networking
DevOps Engineer,Docker Kubernetes AWS CI CD,DevOps Engineer role requiring skills in Docker Kubernetes AWS CI CD
UI UX Designer,Figma Adobe XD Prototyping Design,UI UX Designer role requiring skills in Figma Adobe XD Prototyping Design
Frontend Developer,HTML CSS JavaScript React,Frontend Developer role requiring skills in HTML CSS JavaScript React
Full Stack Developer,HTML CSS JavaScript Python SQL,Full Stack Developer role requiring skills in HTML CSS JavaScript Python SQL
Data Engineer,Python SQL ETL Big Data Hadoop,Data Engineer role requiring skills in Python SQL ETL Big Data Hadoop
Business Analyst,Excel SQL Communication Analytics,Business Analyst role requiring skills in Excel SQL Communication Analytics
Data Analyst,Excel SQL Python Data Visualization,Data Analyst role requiring skills in Excel SQL Python Data Visualization
Database Administrator,SQL Database Management Performance Tuning,Database Administrator role requiring skills in SQL Database Management Performance Tuning
Backend Developer,Python Django Flask APIs SQL,Backend Developer role requiring skills in Python Django Flask APIs SQL
Data Engineer,Python SQL ETL Big Data Hadoop,Data Engineer role requiring skills in Python SQL ETL Big Data Hadoop
System Administrator,Linux Networking Servers Troubleshooting,System Administrator role requiring skills in Linux Networking Servers Troubleshooting
Cyber Security Analyst,Network Security Ethical Hacking Cryptography,Cyber Security Analyst role requiring skills in Network Security Ethical Hacking Cryptography
System Administrator,Linux Networking Servers Troubleshooting,System Administrator role requiring skills in Linux Networking Servers Troubleshooting
Cyber Security Analyst,Network Security Ethical Hacking Cryptography,Cyber Security Analyst role requiring skills in Network Security Ethical Hacking Cryptography
Frontend Developer,HTML CSS JavaScript React,Frontend Developer role requiring skills in HTML CSS JavaScript React
Backend Developer,Python Django Flask APIs SQL,Backend Developer role requiring skills in Python Django Flask APIs SQL
Database Administrator,SQL Database Management Performance Tuning,Database Administrator role requiring skills in SQL Database Management Performance Tuning
Game Developer,C++ Unity Unreal Engine,Game Developer role requiring skills in C++ Unity Unreal Engine
AI Engineer,Python Machine Learning Deep Learning NLP,AI Engineer role requiring skills in Python Machine Learning Deep Learning NLP
Frontend Developer,HTML CSS JavaScript React,Frontend Developer role requiring skills in HTML CSS JavaScript React
Mobile App Developer,Java Kotlin Android Flutter,Mobile App Developer role requiring skills in Java Kotlin Android Flutter
Database Administrator,SQL Database Management Performance Tuning,Database Administrator role requiring skills in SQL Database Management Performance Tuning
UI UX Designer,Figma Adobe XD Prototyping Design,UI UX Designer role requiring skills in Figma Adobe XD Prototyping Design
AI Engineer,Python Machine Learning Deep Learning NLP,AI Engineer role requiring skills in Python Machine Learning Deep Learning NLP
Mobile App Developer,Java Kotlin Android Flutter,Mobile App Developer role requiring skills in Java Kotlin Android Flutter
ML Engineer,Python Deep Learning TensorFlow PyTorch,ML Engineer role requiring skills in Python Deep Learning TensorFlow PyTorch
Cyber Security Analyst,Network Security Ethical Hacking Cryptography,Cyber Security Analyst role requiring skills in Network Security Ethical Hacking Cryptography
ML Engineer,Python Deep Learning TensorFlow PyTorch,ML Engineer role requiring skills in Python Deep Learning TensorFlow PyTorch
Data Analyst,Excel SQL Python Data Visualization,Data Analyst role requiring skills in Excel SQL Python Data Visualization
Mobile App Developer,Java Kotlin Android Flutter,Mobile App Developer role requiring skills in Java Kotlin Android Flutter
Network Engineer,Networking Routing Switching Firewall,Network Engineer role requiring skills in Networking Routing Switching Firewall
QA Engineer,Testing Automation Selenium Debugging,QA Engineer role requiring skills in Testing Automation Selenium Debugging
Cloud Engineer,AWS Azure Cloud Computing Networking,Cloud Engineer role requiring skills in AWS Azure Cloud Computing Networking
AI Engineer,Python Machine Learning Deep Learning NLP,AI Engineer role requiring skills in Python Machine Learning Deep Learning NLP
Network Engineer,Networking Routing Switching Firewall,Network Engineer role requiring skills in Networking Routing Switching Firewall
UI UX Designer,Figma Adobe XD Prototyping Design,UI UX Designer role requiring skills in Figma Adobe XD Prototyping Design
Data Scientist,Python Machine Learning Pandas Statistics,Data Scientist role requiring skills in Python Machine Learning Pandas Statistics
Business Analyst,Excel SQL Communication Analytics,Business Analyst role requiring skills in Excel SQL Communication Analytics
Game Developer,C++ Unity Unreal Engine,Game Developer role requiring skills in C++ Unity Unreal Engine
Cyber Security Analyst,Network Security Ethical Hacking Cryptography,Cyber Security Analyst role requiring skills in Network Security Ethical Hacking Cryptography
QA Engineer,Testing Automation Selenium Debugging,QA Engineer role requiring skills in Testing Automation Selenium Debugging
Full Stack Developer,HTML CSS JavaScript Python SQL,Full Stack Developer role requiring skills in HTML CSS JavaScript Python SQL
Cyber Security Analyst,Network Security Ethical Hacking Cryptography,Cyber Security Analyst role requiring skills in Network Security Ethical Hacking Cryptography
Data Engineer,Python SQL ETL Big Data Hadoop,Data Engineer role requiring skills in Python SQL ETL Big Data Hadoop
Business Analyst,Excel SQL Communication Analytics,Business Analyst role requiring skills in Excel SQL Communication Analytics
DevOps Engineer,Docker Kubernetes AWS CI CD,DevOps Engineer role requiring skills in Docker Kubernetes AWS CI CD
ML Engineer,Python Deep Learning TensorFlow PyTorch,ML Engineer role requiring skills in Python Deep Learning TensorFlow PyTorch
Cyber Security Analyst,Network Security Ethical Hacking Cryptography,Cyber Security Analyst role requiring skills in Network Security Ethical Hacking Cryptography
Cloud Engineer,AWS Azure Cloud Computing Networking,Cloud Engineer role requiring skills in AWS Azure Cloud Computing Networking
ML Engineer,Python Deep Learning TensorFlow PyTorch,ML Engineer role requiring skills in Python Deep Learning TensorFlow PyTorch
Business Analyst,Excel SQL Communication Analytics,Business Analyst role requiring skills in Excel SQL Communication Analytics
Database Administrator,SQL Database Management Performance Tuning,Database Administrator role requiring skills in SQL Database Management Performance Tuning
Database Administrator,SQL Database Management Performance Tuning,Database Administrator role requiring skills in SQL Database Management Performance Tuning
